,Name,Category,Location,Condition,Price,Quantity,Value,Purchase_Year
84,Cable XLR male to female,AUDIO,STORAGE ROOM,Good,25000,3,75000,2020
85,CADDY HDD SSD / Mount Adapter Hdd,TOOLS & SUPPLY,STORAGE ROOM,Good,55000,1,55000,2019
86,CAR CHARGER HP,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,35000,1,35000,2020
87,Card Reader,CAMERA,BOARD,Good,312500,2,625000,2020
88,Carpet,FURNITURE & APPLIANCES,All Room,Fair,15000,7,105000,2019
89,CHAIR,FURNITURE & APPLIANCES,All Room,Good,10000,20,200000,2021
90,Cleaner Spray,TOOLS & SUPPLY,STORAGE ROOM,Good,15000,1,15000,2021
91,Cleaning Tools,FURNITURE & APPLIANCES,STORAGE ROOM,Good,15000,2,30000,2021
92,COLOR FILE BOOK,NETWORKING & PERIPHERAL,STORAGE ROOM,Poor,80000,1,80000,2019
93,Conector RCA soket female,TOOLS & SUPPLY,STORAGE ROOM,Good,50000,1,50000,2019
94,Connect Station,NETWORKING & PERIPHERAL,BOARD,Excellent,500000,1,500000,2020
95,Connector RCA Male,TOOLS & SUPPLY,STORAGE ROOM,Good,10000,8,80000,2021
96,Connector RJ45,TOOLS & SUPPLY,STORAGE ROOM,Good,5000,100,500000,2021
97,Converter HDMI TO SDI,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,150000,2,300000,2020
98,CONVERTER MICRO,NETWORKING & PERIPHERAL,SUITE,Good,150000,2,300000,2021
99,CONVERTER MICRO HDMI Thunderbold,NETWORKING & PERIPHERAL,SUITE,Good,1300000,1,1300000,2020
100,CONVERTER THUNDERBOLT TO ETHERNET,NETWORKING & PERIPHERAL,SUITE,Good,150000,2,300000,2020
101,COOLING FAN,TOOLS & SUPPLY,STORAGE ROOM,Good,1000000,6,6000000,2021
102,CrossFire bridge connector,TOOLS & SUPPLY,STORAGE ROOM,Good,93000,1,93000,2020
103,Cutting Mat,TOOLS & SUPPLY,CO-WORKING,Good,12500,1,12500,2021
104,DECEPTICON IMAC,WORKSTATION,CO-WORKING,Excellent,11500000,1,11500000,2019
105,DECEPTICON KEYBOARD,WORKSTATION,CO-WORKING,Good,1300000,1,1300000,2019
106,DECEPTICON PREVIEW TV,WORKSTATION,SUITE,Excellent,1500000,1,1500000,2020
107,Decklink CARD,NETWORKING & PERIPHERAL,SUITE,Excellent,4500000,1,4500000,2020
108,DESKS / TABLE,FURNITURE & APPLIANCES,All Room,Good,258000,11,2838000,2021
109,DOORMAT,FURNITURE & APPLIANCES,All Room,Good,20000,9,180000,2021
110,Dry Cabinet,CAMERA,BOARD,Good,3600000,1,3600000,2020
111,DSLR CAMERA,CAMERA,BOARD,Excellent,2600000,1,2600000,2020
112,EASYCAP Video capture RCA to USB,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,53000,1,53000,2019
113,Electrical Blower,FURNITURE & APPLIANCES,STORAGE ROOM,Good,375000,2,750000,2019
114,ELGATO- Thunderbolt 2 Dock,WORKSTATION,BOARD,Good,2400000,2,4800000,2020
115,Exhaust Fan,FURNITURE & APPLIANCES,All Room,Good,145000,6,870000,2020
116,EXTENTION CABLE,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,150000,2,300000,2021
117,FILTER LAMPU ( CTO & CTB ),LIGHTING,STORAGE ROOM,Good,30000,68,2040000,2019
118,FIRE & ICE,WORKSTATION,LOUNGE,Good,3500000,1,3500000,2020
119,FIRE & ICE KEYBOARD,WORKSTATION,LOUNGE,Good,75000,2,150000,2019
120,FIRE & ICE LED MONITOR,WORKSTATION,LOUNGE,Excellent,550000,2,1100000,2020
121,FIRE & ICE LOUD SPEAKERS,AUDIO,LOUNGE,Good,400000,1,400000,2020
122,FLASH,CAMERA,BOARD,Excellent,9790000,1,9790000,2019
123,Foam Mattress,FURNITURE & APPLIANCES,BEDROOM,Good,800000,12,9600000,2019
124,FOG MACHINE,LIGHTING,STORAGE ROOM,Excellent,1000000,1,1000000,2020
125,FOLDING TABLE,FURNITURE & APPLIANCES,All Room,Good,800000,3,2400000,2021
126,FRONT CASING CPU,TOOLS & SUPPLY,STORAGE ROOM,Fair,300000,1,300000,2019
127,GPU,TOOLS & SUPPLY,STORAGE ROOM,Excellent,1500000,6,9000000,2020
128,Handy Talky,NETWORKING & PERIPHERAL,BOARD,Fair,150000,4,600000,2020
129,HandyCam,CAMERA,STORAGE ROOM,Excellent,1250000,1,1250000,2020
130,HDD EXTERNAL 2.5 ( 2 TB < ),STORAGE,SUITE,Good,600000,3,1800000,2021
131,HDD EXTERNAL 3.5 ( 2 TB < ),STORAGE,SUITE,Fair,190000,10,1900000,2019
132,HDD EXTERNAL 3.5 ( 8 TB ),STORAGE,SUITE,Excellent,2600000,3,7800000,2019
133,HDD EXTERNAL 3.5 CLOUD ( 2TB ),STORAGE,CO-WORKING,Excellent,2500000,1,2500000,2019
134,HDD INTERNAL 3.5 ( 2 TB < ),STORAGE,SUITE,Fair,85000,10,850000,2021
135,HDD INTERNAL 3.5 ( 4 TB ),STORAGE,SUITE,Good,280000,5,1400000,2021
136,HDD INTERNAL 3.5 ATA / IDE,STORAGE,SUITE,Fair,75000,2,150000,2021
137,HDD INTERNAL 3.5 SAS,STORAGE,SUITE,Good,900000,2,1800000,2021
138,HDMI SPLITER,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,25000,2,50000,2020
139,HYDRA - CPU,WORKSTATION,WORKSTATION,Excellent,31000000,1,31000000,2019
140,HYDRA - SOUND ADAPTER,WORKSTATION,WORKSTATION,Fair,186000,1,186000,2019
141,HYDRA - UPS,WORKSTATION,WORKSTATION,Good,750000,1,750000,2021
142,HYDRA LIGHT - Display Monitor,WORKSTATION,WORKSTATION,Good,1500000,1,1500000,2019
143,HYDRA LIGHT - KEYBOARD,WORKSTATION,WORKSTATION,Good,980000,1,980000,2021
144,HYDRA MONSTRO - Display Monitor,WORKSTATION,WORKSTATION,Good,900000,2,1800000,2021
145,HYDRA MONSTRO - KEYBOARD set,WORKSTATION,WORKSTATION,Fair,350000,1,350000,2019
146,"IMAC 24"" computer",WORKSTATION,STORAGE ROOM,Fair,4000000,1,4000000,2020
147,Inline Coupler / Conector UTP RJ45 Cat 5,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,15000,4,60000,2021
148,Inline Coupler / Conector UTP RJ45 Cat 6,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,17500,5,87500,2021
149,IPS MONITOR,NETWORKING & PERIPHERAL,CO-WORKING,Good,1500000,1,1500000,2020
150,JOY STICK,NETWORKING & PERIPHERAL,LOUNGE,Poor,530000,3,1590000,2019
151,KEYBOARD,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,750000,1,750000,2021
152,KEYBOARD + MOUSE Wireless,NETWORKING & PERIPHERAL,STORAGE ROOM,Good,350000,3,1050000,2020
153,KEYBOARD USB,NETWORKING & PERIPHERAL,STORAGE ROOM,Poor,200000,4,800000,2019
